frame,sign,kx,ky,sbxframe
3885,1,4,-1,1130
3900,-1,7,3,1134
3915,1,1,-10,1138
3930,-1,-12,-9,1142
3945,1,4,-12,1146
3960,-1,-1,-11,1150
3975,1,12,8,1153
3990,1,0,-7,1157
4005,1,10,-2,1161
4020,1,-2,-8,1165
4035,1,1,-7,1169
4050,1,-8,11,1173
4065,1,-11,-8,1177
4080,-1,7,7,1180
4095,1,-10,5,1184
4110,-1,4,3,1188
4125,-1,-11,-2,1192
4140,-1,3,6,1196
4155,-1,-10,-6,1200
4170,1,9,-10,1204
4185,-1,8,8,1208
4200,1,0,-3,1211
4215,-1,-7,-2,1215
4230,-1,0,0,1219
4245,-1,-7,-8,1223
4260,1,10,-10,1227
4275,1,7,11,1231
4290,-1,-8,2,1235
4305,-1,8,-2,1238
4320,-1,11,10,1242
4335,1,-2,-10,1246
4350,-1,5,2,1250
4365,-1,-10,2,1254
4380,1,2,-5,1258
4395,1,1,11,1262
4410,-1,-8,0,1266
4425,1,-7,-12,1269
4440,1,8,8,1273
4455,-1,-3,11,1277
4470,1,12,5,1281
4485,-1,-6,4,1285
4500,-1,3,8,1289
4515,-1,-7,-8,1293
4530,1,3,7,1296
4545,1,2,7,1300
4560,-1,7,4,1304
4575,1,10,-3,1308
4590,-1,0,2,1312
4605,-1,-3,10,1316
4620,-1,-6,9,1320
4635,1,6,5,1324
4650,-1,-5,8,1327
4665,-1,5,-6,1331
4680,1,-5,6,1335
4695,1,-5,-6,1339
4710,1,-2,12,1343
4725,-1,7,4,1347
4740,-1,-8,2,1351
4755,-1,2,-7,1355
4770,-1,-12,-6,1358
4785,1,10,11,1362
4800,1,-10,8,1366
4815,1,-2,11,1370
4830,1,10,-8,1374
4845,-1,3,5,1378
4860,1,3,11,1382
4875,-1,8,3,1385
4890,-1,-5,8,1389
4905,1,7,-10,1393
4920,-1,1,5,1397
4935,-1,-8,-2,1401
4950,-1,-1,3,1405
4965,-1,11,-9,1409
4980,1,-11,12,1413
4995,1,-2,0,1416
5010,1,8,2,1420
5025,-1,8,3,1424
5040,1,12,-6,1428
5055,1,-6,-6,1432
5070,1,8,8,1436
5085,1,-10,-3,1440
5100,-1,12,0,1443
5115,1,9,-5,1447
