frame,sign,kx,ky,sbxframe
0,-1,7,12,128
15,-1,-10,8,132
30,1,-2,-1,136
45,-1,11,-6,140
60,1,-1,10,144
75,-1,-4,-4,148
90,-1,-7,-1,151
105,-1,10,9,155
120,-1,6,8,159
135,-1,-10,-7,163
150,-1,-10,8,167
165,-1,3,-1,171
180,-1,-5,-2,175
195,1,-1,0,179
210,-1,-3,-12,182
225,1,-4,-4,186
240,1,-10,4,190
255,1,3,-4,194
270,1,3,7,198
285,-1,-5,-4,202
300,-1,-4,-4,206
315,-1,-6,1,209
330,1,10,-3,213
345,1,-6,-9,217
360,-1,-9,-12,221
375,-1,-7,-8,225
390,-1,-10,8,229
405,-1,6,-4,233
420,1,4,-11,237
435,-1,2,12,240
450,1,-7,8,244
465,1,-4,-12,248
480,1,10,-8,252
495,1,-1,-1,256
510,-1,2,10,260
525,1,2,-4,264
540,1,4,-7,268
555,1,4,-11,271
570,-1,-6,-11,275
585,1,-10,-9,279
600,1,10,9,283
615,-1,-11,9,287
630,-1,7,9,291
645,1,4,0,295
660,1,-6,-6,298
675,-1,1,-5,302
690,-1,-12,-10,306
705,1,8,-7,310
720,1,-2,4,314
735,1,6,7,318
750,-1,-1,8,322
765,1,-7,-4,326
780,1,6,11,329
795,-1,7,8,333
810,1,6,2,337
825,-1,12,-3,341
840,-1,-11,-11,345
855,1,-5,2,349
870,1,12,-4,353
885,-1,0,9,356
900,1,8,11,360
915,1,5,-7,364
930,-1,1,-1,368
945,-1,4,11,372
960,1,-9,-9,376
975,-1,-8,8,380
990,-1,4,-1,384
1005,-1,8,-7,387
1020,-1,-10,9,391
1035,1,-9,2,395
1050,-1,12,-5,399
1065,1,12,1,403
1080,1,-9,-10,407
1095,1,-9,-2,411
1110,1,4,-11,414
1125,1,-12,-6,418
1140,1,-5,1,422
1155,-1,0,8,426
1170,-1,-7,-10,430
1185,-1,1,4,434
1200,-1,-5,3,438
1215,1,-3,-2,442
1230,1,4,-5,445
1245,-1,-3,-6,449
1260,-1,-10,-9,453
1275,1,0,12,457
1290,-1,-5,12,461
1305,1,-2,1,465
1320,1,-8,-4,469
1335,1,11,12,472
1350,1,0,-8,476
1365,1,-11,-1,480
1380,1,12,8,484
1395,1,-1,-10,488
1410,-1,-9,-11,492
1425,-1,-4,3,496
1440,-1,-10,-5,500
1455,-1,-4,11,503
1470,1,10,9,507
1485,1,-11,6,511
1500,1,-12,11,515
1515,-1,-7,-4,519
1530,-1,-9,8,523
1545,-1,11,-5,527
1560,-1,-8,-11,530
1575,1,-3,7,534
1590,1,-6,-6,538
1605,1,-12,-11,542
1620,1,-7,2,546
1635,-1,1,-11,550
1650,-1,8,12,554
1665,1,8,-1,558
1680,-1,10,-12,561
1695,1,-2,11,565
1710,-1,4,-5,569
1725,-1,2,7,573
1740,-1,1,10,577
1755,-1,12,0,581
1770,-1,-1,11,585
1785,1,-4,8,589
1800,-1,10,6,592
1815,-1,-2,1,596
1830,-1,8,1,600
1845,1,6,9,604
1860,-1,11,7,608
1875,1,-5,-10,612
1890,1,0,-8,616
1905,1,-5,6,619
1920,1,9,-11,623
1935,1,-9,-11,627
1950,-1,12,-12,631
1965,1,10,-5,635
1980,-1,-9,9,639
1995,-1,12,-7,643
2010,1,-7,10,647
2025,1,-11,4,650
2040,-1,1,-7,654
2055,1,-4,10,658
2070,1,-3,11,662
2085,-1,-10,-7,666
2100,1,-5,-6,670
2115,1,3,-11,674
2130,-1,-4,-3,677
2145,-1,-6,9,681
2160,1,1,-6,685
2175,-1,5,8,689
2190,-1,-11,-3,693
2205,-1,7,3,697
2220,-1,-3,7,701
2235,1,-12,-3,705
2250,-1,-6,-4,708
2265,1,11,5,712
2280,1,-8,-3,716
2295,1,-10,-8,720
2310,-1,-11,-7,724
2325,1,-3,-5,728
2340,1,5,-10,732
2355,1,6,10,735
2370,-1,10,-7,739
2385,-1,9,-10,743
2400,-1,6,-8,747
2415,-1,-4,10,751
2430,1,10,-11,755
2445,1,8,1,759
2460,-1,-10,-9,763
2475,1,0,-6,766
2490,-1,5,-5,770
2505,1,10,-7,774
2520,1,-5,-8,778
2535,1,-2,10,782
2550,1,-10,2,786
2565,-1,11,1,790
2580,1,-10,-7,793
2595,1,9,-4,797
2610,1,-6,-11,801
2625,1,1,9,805
2640,-1,-9,-1,809
2655,1,6,7,813
2670,1,11,-12,817
2685,1,1,8,821
2700,-1,8,-3,824
2715,-1,0,2,828
2730,-1,2,-1,832
2745,-1,2,-12,836
2760,1,10,9,840
2775,-1,-8,1,844
2790,-1,12,7,848
2805,-1,-6,-10,852
2820,1,-12,10,855
2835,-1,5,-4,859
2850,-1,5,-5,863
2865,1,12,-3,867
2880,1,11,-6,871
2895,1,6,0,875
2910,-1,-8,-3,879
2925,1,6,8,882
2940,1,8,4,886
2955,1,-10,5,890
2970,1,-10,5,894
2985,-1,-12,1,898
3000,1,6,3,902
3015,1,4,11,906
3030,-1,8,9,910
3045,1,12,-7,913
3060,-1,3,-11,917
3075,1,3,1,921
3090,1,2,5,925
3105,1,12,1,929
3120,1,4,6,933
3135,-1,-11,3,937
3150,-1,4,-7,940
3165,1,7,-1,944
3180,-1,-3,-7,948
3195,-1,1,-11,952
3210,1,5,5,956
3225,1,-11,-10,960
3240,-1,10,-3,964
3255,-1,-11,-5,968
3270,-1,-1,8,971
3285,-1,-2,7,975
3300,-1,0,9,979
3315,1,11,4,983
3330,-1,-1,5,987
3345,1,-10,1,991
3360,-1,11,-8,995
3375,1,7,-4,998
3390,-1,-1,-2,1002
3405,1,-5,1,1006
3420,-1,1,1,1010
3435,1,0,-9,1014
3450,1,11,-9,1018
3465,-1,10,7,1022
3480,1,10,-7,1026
3495,-1,9,12,1029
3510,1,-10,-1,1033
3525,-1,-4,-3,1037
3540,-1,-8,-3,1041
3555,1,-5,-12,1045
3570,1,12,-2,1049
3585,-1,-2,-6,1053
3600,1,-11,1,1056
3615,-1,4,9,1060
3630,-1,-11,-8,1064
3645,-1,8,10,1068
3660,1,3,-4,1072
3675,1,10,-11,1076
3690,-1,-3,4,1080
3705,-1,-11,-3,1084
3720,-1,-1,-7,1087
3735,-1,-1,8,1091
3750,1,0,-8,1095
3765,-1,-11,-9,1099
3780,1,2,-8,1103
3795,1,6,-7,1107
3810,-1,-9,5,1111
3825,-1,10,12,1114
3840,1,-8,3,1118
3855,1,-9,-4,1122
3870,-1,12,-8,1126
3885,-1,1,10,1130
3900,1,-5,-6,1134
3915,1,12,5,1138
3930,-1,9,11,1142
3945,1,6,8,1145
3960,-1,10,10,1149
3975,-1,-4,4,1153
3990,1,10,6,1157
4005,-1,6,-4,1161
4020,-1,5,0,1165
4035,-1,-5,2,1169
4050,1,3,11,1173
4065,-1,3,4,1176
4080,-1,10,-2,1180
4095,-1,11,-3,1184
4110,1,-8,-12,1188
4125,1,-5,5,1192
4140,-1,-4,10,1196
4155,1,3,-2,1200
4170,-1,6,-8,1203
4185,1,-9,1,1207
4200,-1,5,-11,1211
4215,1,-7,1,1215
4230,1,4,12,1219
4245,1,0,-7,1223
4260,1,-1,-4,1227
4275,-1,-4,-1,1231
4290,-1,-5,6,1234
4305,-1,-5,10,1238
4320,1,2,2,1242
4335,-1,1,11,1246
4350,-1,-4,-11,1250
4365,-1,-2,7,1254
4380,1,-4,-1,1258
4395,-1,5,-9,1261
4410,1,11,-10,1265
4425,-1,-1,10,1269
4440,-1,-12,-11,1273
4455,-1,10,9,1277
4470,-1,5,-11,1281
4485,1,-5,-3,1285
4500,-1,3,-9,1289
4515,-1,2,-3,1292
4530,-1,7,3,1296
4545,1,-11,-7,1300
4560,1,12,10,1304
4575,1,5,4,1308
4590,1,-8,10,1312
4605,1,6,7,1316
4620,1,12,12,1319
4635,-1,7,0,1323
4650,-1,-2,-9,1327
4665,1,4,8,1331
4680,1,-9,7,1335
4695,1,5,12,1339
4710,1,1,12,1343
4725,-1,-12,-5,1347
4740,-1,1,-6,1350
4755,1,10,-8,1354
4770,-1,-1,-8,1358
4785,-1,4,-2,1362
4800,-1,11,11,1366
4815,1,-7,-5,1370
4830,-1,5,11,1374
4845,-1,-12,-8,1377
4860,1,10,8,1381
4875,1,3,-11,1385
4890,-1,7,3,1389
4905,1,5,6,1393
4920,-1,9,3,1397
4935,-1,-6,-4,1401
4950,1,3,-12,1405
4965,-1,-5,-5,1408
4980,1,-9,-12,1412
4995,-1,-10,6,1416
5010,-1,-2,7,1420
5025,-1,-6,-11,1424
5040,1,-6,9,1428
5055,-1,6,10,1432
5070,-1,-11,4,1436
5085,1,-3,-5,1439
5100,1,4,7,1443
5115,1,6,2,1447
5130,-1,7,9,1451
5145,-1,1,-2,1455
5160,1,-2,-8,1459
5175,-1,12,3,1463
5190,-1,7,3,1466
5205,-1,-1,-8,1470
5220,-1,6,-5,1474
5235,-1,-6,-4,1478
5250,1,12,-7,1482
5265,-1,-3,-1,1486
5280,-1,0,-11,1490
5295,1,12,1,1494
5310,-1,6,7,1497
5325,-1,-9,-1,1501
5340,1,10,11,1505
5355,1,10,1,1509
5370,-1,3,-5,1513
5385,-1,9,11,1517
5400,-1,-9,-1,1521
5415,-1,12,-8,1524
5430,-1,7,-12,1528
5445,1,-4,-3,1532
5460,-1,-1,10,1536
5475,1,0,-3,1540
5490,-1,-11,-6,1544
5505,1,-2,-4,1548
5520,-1,12,9,1552
5535,1,-1,12,1555
5550,1,1,-2,1559
5565,1,-2,9,1563
5580,1,1,2,1567
5595,-1,-5,7,1571
5610,1,-1,12,1575
5625,1,11,-9,1579
5640,1,7,12,1582
5655,1,1,-10,1586
5670,1,-4,-8,1590
5685,-1,0,-4,1594
5700,-1,9,-2,1598
5715,-1,-8,10,1602
5730,1,3,6,1606
5745,-1,0,5,1610
5760,-1,-5,-7,1613
5775,1,9,5,1617
5790,1,-7,-3,1621
5805,-1,7,-4,1625
5820,-1,-5,-8,1629
5835,-1,8,-11,1633
5850,-1,-11,12,1637
5865,1,-1,11,1640
5880,-1,0,6,1644
5895,1,10,-7,1648
5910,-1,7,-8,1652
5925,-1,12,-7,1656
5940,-1,10,-9,1660
5955,1,11,-2,1664
5970,-1,12,-12,1668
5985,-1,8,-6,1671
6000,-1,-8,-11,1675
6015,1,-12,10,1679
6030,1,-1,-3,1683
6045,-1,3,-3,1687
6060,1,2,1,1691
6075,-1,-1,-5,1695
6090,1,1,8,1698
6105,1,0,-1,1702
6120,1,-7,4,1706
6135,-1,9,-5,1710
6150,-1,-11,11,1714
6165,-1,9,10,1718
6180,1,-8,-2,1722
6195,1,-12,-2,1726
6210,-1,0,7,1729
6225,-1,-2,6,1733
6240,1,3,-3,1737
6255,-1,-12,-5,1741
6270,1,-1,5,1745
6285,-1,-6,1,1749
6300,1,7,-3,1753
6315,-1,-8,-6,1757
6330,1,-11,7,1760
6345,1,-5,-2,1764
6360,1,12,0,1768
6375,-1,4,-9,1772
6390,-1,8,-5,1776
6405,-1,12,-12,1780
6420,-1,-9,-7,1784
6435,1,2,5,1787
6450,1,2,-12,1791
6465,-1,-5,-5,1795
6480,1,11,-6,1799
6495,-1,2,-1,1803
6510,-1,5,2,1807
6525,1,4,-1,1811
6540,1,6,-8,1815
6555,-1,-9,-6,1818
6570,1,4,1,1822
6585,1,8,-10,1826
6600,-1,-6,-9,1830
6615,1,0,12,1834
6630,1,-1,-4,1838
6645,1,-9,-2,1842
6660,1,0,-3,1845
6675,-1,-1,0,1849
6690,1,2,-3,1853
6705,1,-7,-12,1857
6720,-1,-2,5,1861
6735,1,5,-3,1865
6750,-1,-8,-1,1869
6765,-1,5,-2,1873
6780,-1,0,2,1876
6795,-1,-11,-5,1880
6810,1,-5,12,1884
6825,1,7,-10,1888
6840,1,-1,2,1892
6855,-1,-9,-12,1896
6870,1,-1,-4,1900
6885,1,11,3,1903
6900,-1,4,9,1907
6915,1,-5,12,1911
6930,-1,-12,-9,1915
6945,-1,-2,-12,1919
6960,1,3,-9,1923
6975,-1,-11,-2,1927
6990,-1,-1,12,1931
7005,-1,-12,-12,1934
7020,1,2,-7,1938
7035,-1,-8,-11,1942
7050,1,-3,0,1946
7065,-1,-2,7,1950
7080,-1,12,3,1954
7095,1,9,-4,1958
7110,-1,-11,10,1961
7125,-1,-1,5,1965
7140,-1,-3,10,1969
7155,-1,1,-9,1973
7170,1,1,12,1977
7185,-1,6,-6,1981
7200,1,1,-9,1985
7215,1,-8,9,1989
7230,-1,-4,-11,1992
7245,1,2,-10,1996
7260,1,-6,1,2000
7275,1,-3,-3,2004
7290,-1,12,9,2008
7305,-1,-1,-11,2012
7320,1,-11,-12,2016
7335,-1,8,-9,2020
7350,-1,-11,5,2023
7365,-1,0,12,2027
7380,-1,9,2,2031
7395,-1,5,0,2035
7410,-1,-5,2,2039
7425,-1,-11,6,2043
7440,-1,-1,9,2047
7455,1,8,-2,2050
7470,-1,11,-1,2054
7485,1,-1,6,2058
7500,1,-8,8,2062
7515,1,6,12,2066
7530,1,-3,2,2070
7545,-1,2,-8,2074
7560,1,-8,0,2078
7575,1,10,5,2081
7590,-1,10,3,2085
7605,-1,10,-5,2089
7620,-1,1,7,2093
7635,-1,-8,-12,2097
7650,-1,-3,11,2101
7665,1,-9,4,2105
7680,1,-5,-4,2108
7695,1,10,12,2112
7710,1,-3,12,2116
7725,-1,3,2,2120
7740,1,-1,4,2124
7755,-1,-1,-6,2128
7770,-1,-11,-8,2132
7785,1,2,-5,2136
7800,1,-12,11,2139
7815,1,-12,-5,2143
7830,1,-3,-7,2147
7845,-1,-7,4,2151
7860,-1,4,-9,2155
7875,1,4,-1,2159
7890,-1,-8,12,2163
7905,-1,-3,11,2166
7920,-1,-8,-12,2170
7935,1,-5,10,2174
7950,1,2,-10,2178
7965,-1,7,7,2182
7980,1,7,5,2186
7995,-1,5,1,2190
8010,1,-9,1,2194
8025,1,-5,11,2197
8040,-1,4,8,2201
8055,-1,-11,1,2205
8070,-1,-3,7,2209
8085,1,7,-9,2213
8100,1,11,-2,2217
8115,-1,7,-6,2221
8130,1,-2,-12,2224
8145,1,4,12,2228
8160,-1,-2,12,2232
8175,-1,-3,4,2236
8190,1,2,-3,2240
8205,1,-5,-2,2244
8220,1,2,-6,2248
8235,1,4,-5,2252
8250,-1,0,3,2255
8265,1,0,-11,2259
8280,1,12,-2,2263
8295,-1,-10,-1,2267
8310,1,-3,-9,2271
8325,-1,7,-2,2275
8340,-1,2,9,2279
8355,-1,-10,5,2282
8370,1,8,-9,2286
8385,1,-1,3,2290
8400,-1,-7,3,2294
8415,-1,-7,3,2298
8430,1,5,-4,2302
8445,-1,8,-5,2306
8460,-1,-6,10,2310
8475,-1,1,-9,2313
8490,1,2,-1,2317
8505,-1,6,-10,2321
8520,-1,-2,-7,2325
8535,-1,-6,-1,2329
8550,1,-7,-6,2333
8565,-1,-1,7,2337
8580,-1,0,5,2341
8595,1,-12,1,2344
8610,-1,2,-2,2348
8625,1,-4,-2,2352
8640,1,3,6,2356
8655,-1,-1,6,2360
8670,1,0,-5,2364
8685,1,-3,-8,2368
8700,1,0,-2,2371
8715,1,11,0,2375
8730,-1,2,9,2379
8745,1,2,-6,2383
8760,-1,-2,0,2387
8775,-1,4,7,2391
8790,1,5,-5,2395
8805,1,6,9,2399
8820,1,0,8,2402
8835,1,-8,-4,2406
8850,-1,-4,5,2410
8865,1,-12,-1,2414
8880,-1,3,2,2418
8895,1,3,-9,2422
8910,1,1,5,2426
8925,1,12,12,2429
8940,-1,6,-10,2433
8955,-1,-4,-6,2437
8970,1,9,-4,2441
8985,-1,2,-1,2445
9000,1,-8,5,2449
9015,-1,-1,-1,2453
9030,1,-6,-3,2457
9045,-1,-8,5,2460
9060,1,11,-2,2464
9075,-1,-7,1,2468
9090,1,3,-3,2472
9105,1,-2,1,2476
9120,1,6,9,2480
9135,1,-1,6,2484
9150,1,6,10,2487
9165,-1,1,10,2491
9180,-1,-7,-8,2495
9195,-1,-4,9,2499
9210,-1,10,3,2503
9225,-1,8,2,2507
9240,-1,3,5,2511
9255,-1,2,-3,2515
9270,-1,10,5,2518
9285,-1,7,-1,2522
9300,-1,11,4,2526
9315,-1,7,4,2530
9330,-1,8,12,2534
9345,1,-12,4,2538
9360,-1,6,-3,2542
9375,-1,10,7,2545
9390,-1,7,10,2549
9405,1,-4,4,2553
9420,-1,10,10,2557
9435,1,9,-12,2561
9450,1,-7,2,2565
9465,1,0,-3,2569
9480,-1,9,8,2573
9495,1,5,-2,2576
9510,-1,12,-8,2580
9525,-1,4,-2,2584
9540,1,-11,-1,2588
9555,-1,11,9,2592
9570,-1,0,-9,2596
9585,1,-6,-5,2600
9600,1,10,-12,2604
9615,-1,-1,-12,2607
9630,1,12,-4,2611
9645,1,-11,10,2615
9660,1,1,-8,2619
9675,-1,7,-12,2623
9690,1,-10,-5,2627
9705,-1,6,12,2631
9720,1,-11,3,2634
9735,-1,7,9,2638
9750,-1,9,-8,2642
9765,-1,6,1,2646
9780,1,1,5,2650
9795,-1,0,11,2654
9810,-1,-5,-10,2658
9825,1,-3,7,2662
9840,1,1,10,2665
9855,1,-4,8,2669
9870,1,-3,-12,2673
9885,-1,6,9,2677
9900,-1,-4,5,2681
9915,1,-5,-3,2685
9930,-1,-12,3,2689
9945,1,12,-1,2692
9960,-1,-7,11,2696
9975,-1,-8,3,2700
9990,-1,7,-9,2704
10005,1,-12,2,2708
10020,1,10,-4,2712
10035,1,-5,-12,2716
10050,1,-1,-11,2720
10065,-1,-6,-9,2723
10080,1,8,9,2727
10095,-1,-1,4,2731
10110,-1,9,-11,2735
10125,-1,-12,3,2739
10140,1,-7,-12,2743
10155,-1,-10,9,2747
10170,-1,11,7,2750
10185,-1,-1,-1,2754
10200,1,6,4,2758
10215,1,3,-11,2762
10230,1,-8,0,2766
10245,-1,8,-5,2770
10260,1,4,-9,2774
10275,-1,9,4,2778
10290,-1,2,-6,2781
10305,1,-4,-7,2785
10320,-1,11,9,2789
10335,1,7,12,2793
10350,1,-8,5,2797
10365,-1,3,-2,2801
10380,-1,7,-8,2805
10395,1,3,7,2808
10410,1,-10,-2,2812
10425,-1,-1,12,2816
10440,1,3,2,2820
10455,-1,3,-4,2824
10470,1,-7,3,2828
10485,-1,-4,1,2832
10500,-1,9,1,2836
10515,1,6,-10,2839
10530,-1,-3,5,2843
10545,1,-5,-9,2847
10560,-1,10,-11,2851
10575,1,7,4,2855
10590,1,-3,11,2859
10605,1,-6,-7,2863
10620,-1,9,3,2866
10635,-1,-7,6,2870
10650,-1,9,-2,2874
10665,1,-2,4,2878
10680,-1,-2,-11,2882
10695,-1,-10,0,2886
10710,1,9,-5,2890
10725,-1,-3,-9,2894
