frame,sign,kx,ky,sbxframe
0,1,-6,1,126
15,-1,2,-4,129
30,1,-11,-9,133
45,1,9,-7,137
60,-1,-3,11,141
75,-1,-8,-12,145
90,1,6,-3,149
105,1,-9,5,153
120,-1,3,-7,156
135,1,-8,8,160
150,-1,1,-12,164
165,1,-1,8,168
180,-1,11,9,172
195,1,-11,-10,176
210,1,3,-5,180
225,1,-8,1,184
240,1,-10,2,187
255,1,11,-11,191
270,-1,-5,-11,195
285,-1,1,3,199
300,-1,8,-11,203
315,-1,-3,-12,207
330,-1,2,-5,211
345,-1,-8,-10,214
360,1,11,8,218
375,-1,5,10,222
390,-1,1,7,226
405,-1,-6,3,230
420,-1,1,6,234
435,-1,0,-2,238
450,1,10,-5,242
465,-1,-4,10,245
480,1,-9,-9,249
495,1,2,0,253
510,1,-8,3,257
525,-1,-7,3,261
540,-1,-10,12,265
555,1,-12,-11,269
570,-1,-11,-3,272
585,1,-11,5,276
600,1,5,6,280
615,-1,-1,11,284
630,1,-5,-5,288
645,-1,-12,-10,292
660,-1,-10,0,296
675,1,-11,-2,300
690,1,-4,-9,303
705,1,-10,12,307
720,1,-6,-5,311
735,1,12,-4,315
750,1,8,-6,319
765,1,-4,-9,323
780,-1,4,-1,327
795,-1,7,-10,331
810,-1,-6,-4,334
825,-1,4,-6,338
840,1,-5,-5,342
855,-1,-10,-3,346
870,1,-12,-3,350
885,-1,9,4,354
900,-1,10,1,358
915,1,10,-9,361
930,1,-9,-10,365
945,-1,1,2,369
960,1,10,8,373
975,1,0,-7,377
990,-1,-2,8,381
1005,-1,-2,5,385
1020,-1,7,0,389
1035,-1,9,-3,392
1050,1,-1,7,396
1065,1,9,9,400
1080,1,0,-7,404
1095,-1,-5,-2,408
1110,-1,7,-1,412
1125,-1,8,-2,416
1140,1,12,6,419
1155,-1,11,3,423
1170,1,-6,-7,427
1185,1,-8,-7,431
1200,1,-8,-8,435
1215,1,7,7,439
1230,-1,1,7,443
1245,-1,-10,3,447
1260,1,0,9,450
1275,1,-7,2,454
1290,1,9,-4,458
1305,-1,-6,-3,462
1320,-1,-4,-9,466
1335,-1,-5,1,470
1350,1,-7,-8,474
1365,-1,10,-1,477
1380,-1,12,1,481
1395,-1,1,12,485
1410,1,-5,-3,489
1425,-1,0,-7,493
1440,1,-10,-5,497
1455,1,5,11,501
1470,-1,-5,9,505
1485,-1,7,4,508
1500,1,-3,-6,512
1515,-1,-4,6,516
1530,-1,2,-6,520
1545,1,-1,5,524
1560,-1,-2,5,528
1575,1,-7,6,532
1590,-1,3,12,536
1605,1,-6,-9,539
1620,1,5,-9,543
1635,1,-10,10,547
1650,1,-10,2,551
1665,1,-6,-8,555
1680,1,11,-4,559
1695,-1,2,-9,563
1710,-1,-9,1,566
1725,-1,-4,7,570
1740,1,-11,7,574
1755,1,12,8,578
1770,1,-5,9,582
1785,-1,-6,7,586
1800,-1,1,7,590
1815,1,-12,-11,594
1830,-1,-5,-9,597
1845,-1,0,-12,601
1860,-1,10,-12,605
1875,-1,-3,5,609
1890,1,-11,-9,613
1905,-1,-4,-6,617
1920,1,10,-1,621
1935,-1,11,5,624
1950,1,8,-6,628
1965,1,12,8,632
1980,-1,9,-3,636
1995,-1,9,7,640
2010,1,8,-8,644
2025,1,10,-10,648
2040,-1,-7,8,652
2055,-1,-12,-12,655
2070,1,0,-10,659
2085,-1,9,12,663
2100,1,10,11,667
2115,-1,6,5,671
2130,-1,7,-10,675
2145,1,11,-9,679
2160,1,9,-8,682
2175,-1,2,-3,686
2190,1,-8,4,690
2205,1,-5,-9,694
2220,-1,-8,6,698
2235,-1,4,12,702
2250,1,-3,9,706
2265,-1,7,-3,710
2280,1,6,6,713
2295,-1,-6,3,717
2310,-1,-2,-5,721
2325,1,5,-12,725
2340,1,6,-2,729
2355,-1,-9,-1,733
2370,1,7,10,737
2385,-1,-6,7,741
2400,1,5,3,744
2415,1,-10,-5,748
2430,-1,-2,7,752
2445,-1,7,4,756
2460,-1,-1,3,760
2475,1,-5,-3,764
2490,1,-12,12,768
2505,-1,0,9,771
2520,-1,7,9,775
2535,-1,-7,12,779
2550,-1,-10,-7,783
2565,-1,5,-1,787
2580,1,-7,11,791
2595,1,-3,8,795
2610,1,-1,-8,799
2625,-1,-10,12,802
2640,-1,-10,-10,806
2655,1,-4,8,810
2670,-1,12,6,814
2685,1,8,-10,818
2700,1,-5,-3,822
2715,1,-7,0,826
2730,-1,-4,4,829
2745,-1,12,-8,833
2760,-1,-10,-11,837
2775,-1,-1,-9,841
2790,-1,-3,7,845
2805,1,3,9,849
2820,-1,12,-10,853
2835,-1,8,8,857
2850,1,-4,-6,860
2865,1,1,11,864
2880,-1,5,-6,868
2895,-1,8,8,872
2910,1,2,-6,876
2925,1,8,8,880
2940,-1,-4,2,884
