frame,sign,kx,ky,sbxframe
0,1,12,-5,129
15,1,7,-10,133
30,-1,8,-5,136
45,1,-7,-2,140
60,-1,-7,10,144
75,1,9,12,148
90,-1,7,-11,152
105,-1,-10,5,156
120,-1,6,-1,160
135,1,-11,-2,164
150,-1,9,1,167
165,1,3,11,171
180,-1,3,12,175
195,-1,3,-5,179
210,-1,11,10,183
225,-1,5,-2,187
240,-1,-3,12,191
255,-1,12,1,194
270,1,-4,10,198
285,-1,-5,5,202
300,-1,12,9,206
315,-1,4,-7,210
330,1,8,-5,214
345,-1,-6,-6,218
360,-1,2,-12,222
375,-1,-10,-7,225
390,1,6,8,229
405,1,9,8,233
420,1,7,-8,237
435,1,-8,1,241
450,-1,-10,8,245
465,-1,5,10,249
480,-1,2,9,252
495,1,6,-6,256
510,-1,3,7,260
525,-1,12,-12,264
540,-1,-10,-2,268
555,1,2,7,272
570,1,10,-1,276
585,-1,-1,-1,280
600,-1,4,-9,283
615,-1,-6,-3,287
630,1,-11,3,291
645,1,-9,-4,295
660,-1,-8,-10,299
675,1,-4,8,303
690,1,-8,-2,307
705,1,0,-5,310
720,-1,1,-10,314
735,1,12,1,318
750,1,-11,2,322
765,1,2,-1,326
780,-1,1,-3,330
795,-1,8,-4,334
810,-1,-1,-9,338
825,-1,3,-5,341
840,1,-6,4,345
855,1,6,10,349
870,-1,-4,3,353
885,1,1,1,357
900,-1,-12,-3,361
915,-1,3,-6,365
930,1,5,9,368
945,-1,-3,-11,372
960,-1,9,-9,376
975,1,3,-8,380
990,1,6,7,384
1005,1,-6,3,388
1020,-1,11,-7,392
1035,-1,3,3,396
1050,1,-9,4,399
1065,1,8,9,403
1080,-1,-6,-2,407
1095,1,1,-4,411
1110,-1,-12,3,415
1125,1,8,4,419
1140,-1,-5,-1,423
1155,1,-6,7,427
1170,-1,-8,6,430
1185,1,9,-11,434
1200,1,-5,-12,438
1215,1,-5,12,442
1230,1,-7,-5,446
1245,-1,-6,1,450
1260,-1,-11,-8,454
1275,1,-3,-9,457
1290,-1,-3,-3,461
1305,1,-9,-8,465
1320,1,4,8,469
1335,-1,-2,-2,473
1350,-1,-9,6,477
1365,-1,9,-3,481
1380,1,7,9,485
1395,1,-4,1,488
1410,1,-6,-4,492
1425,-1,-1,-12,496
1440,1,10,5,500
1455,1,-2,-2,504
1470,1,-6,10,508
1485,-1,-4,5,512
1500,-1,9,3,515
1515,1,8,-5,519
1530,1,1,7,523
1545,1,-5,-6,527
1560,-1,-7,-5,531
1575,1,-3,-6,535
1590,1,8,10,539
1605,1,11,-4,543
1620,1,10,-10,546
1635,-1,-7,-4,550
1650,1,-5,-5,554
1665,1,0,0,558
1680,-1,-7,9,562
1695,1,-10,6,566
1710,-1,9,2,570
1725,-1,3,-4,573
1740,1,-10,7,577
1755,1,6,-3,581
1770,-1,-4,4,585
1785,-1,6,7,589
1800,-1,8,-12,593
1815,-1,2,1,597
1830,1,-10,-5,601
1845,1,8,-11,604
1860,-1,10,-7,608
1875,1,-8,5,612
1890,-1,-11,-6,616
1905,-1,-9,6,620
1920,1,8,8,624
1935,-1,1,11,628
1950,1,-9,2,631
1965,-1,-2,-1,635
1980,-1,-7,5,639
1995,-1,-2,-7,643
2010,1,-6,7,647
2025,-1,-3,-1,651
2040,-1,-1,1,655
2055,-1,-2,8,659
2070,1,-12,-9,662
2085,1,5,8,666
2100,1,-9,6,670
2115,1,11,-5,674
2130,-1,-4,-12,678
2145,-1,7,1,682
