frame,sign,kx,ky,sbxframe
3855,-1,0,11,1122
3870,1,-11,-2,1126
3885,1,9,4,1129
3900,1,8,-8,1133
3915,-1,9,6,1137
3930,-1,6,2,1141
3945,-1,7,7,1145
3960,1,8,5,1149
3975,1,8,2,1153
3990,1,12,-2,1156
4005,1,1,6,1160
4020,-1,8,-3,1164
4035,1,-12,3,1168
4050,1,-10,1,1172
4065,1,-2,-3,1176
4080,-1,12,6,1180
4095,-1,-4,1,1184
4110,1,-12,-12,1187
4125,-1,-5,-4,1191
4140,-1,-10,-1,1195
4155,1,-12,3,1199
4170,1,8,2,1203
4185,1,9,-10,1207
4200,1,-8,-4,1211
4215,-1,-11,-7,1214
4230,-1,10,0,1218
4245,-1,8,-2,1222
4260,-1,10,-3,1226
4275,1,3,5,1230
4290,-1,9,-9,1234
4305,-1,-6,-7,1238
4320,-1,-12,3,1242
4335,1,6,0,1245
4350,1,10,-4,1249
4365,-1,4,-11,1253
4380,-1,2,-9,1257
4395,-1,10,1,1261
4410,1,0,11,1265
4425,-1,8,-3,1269
4440,1,-2,-2,1272
4455,-1,10,12,1276
4470,1,-8,6,1280
4485,1,9,-4,1284
4500,1,5,5,1288
4515,-1,-9,0,1292
4530,1,0,10,1296
4545,-1,-8,0,1300
4560,-1,3,-9,1303
4575,1,-1,-5,1307
4590,-1,-2,8,1311
4605,-1,-6,-5,1315
4620,-1,6,6,1319
4635,1,1,-10,1323
4650,-1,-5,-8,1327
4665,-1,7,8,1331
4680,-1,3,-3,1334
4695,1,-10,0,1338
4710,1,-7,9,1342
4725,-1,3,8,1346
4740,1,-2,-6,1350
4755,-1,7,3,1354
4770,-1,2,-5,1358
4785,-1,11,10,1361
4800,-1,8,-6,1365
4815,-1,9,-5,1369
4830,-1,7,5,1373
4845,-1,2,0,1377
4860,1,11,10,1381
4875,-1,-10,-1,1385
4890,-1,-4,-3,1389
4905,1,-4,-12,1392
4920,1,-9,2,1396
4935,1,5,4,1400
4950,-1,9,-3,1404
4965,-1,7,-6,1408
4980,1,9,7,1412
4995,-1,9,-8,1416
5010,1,7,-11,1419
5025,-1,2,4,1423
5040,1,7,7,1427
5055,1,-8,-7,1431
5070,1,-4,2,1435
5085,-1,-6,-9,1439
5100,-1,9,8,1443
5115,-1,-8,5,1447
5130,1,1,-4,1450
5145,-1,1,-1,1454
5160,-1,-7,-10,1458
5175,-1,-3,-6,1462
5190,1,7,-1,1466
5205,1,-10,-4,1470
5220,-1,7,1,1474
5235,-1,12,12,1477
5250,1,-4,-4,1481
5265,-1,3,7,1485
5280,1,-9,-2,1489
5295,1,12,-9,1493
5310,1,-2,-6,1497
5325,-1,8,-1,1501
5340,1,12,3,1505
5355,-1,11,-9,1508
5370,1,0,10,1512
5385,1,-3,-6,1516
5400,-1,-10,-3,1520
5415,-1,-11,-7,1524
5430,-1,7,6,1528
5445,-1,-5,-7,1532
5460,-1,8,-4,1535
5475,-1,-4,4,1539
5490,-1,4,0,1543
5505,1,8,8,1547
5520,1,-8,10,1551
5535,-1,0,-7,1555
5550,-1,-9,0,1559
5565,1,-11,4,1563
5580,1,-7,-8,1566
5595,1,1,-12,1570
5610,1,6,-6,1574
5625,-1,7,2,1578
5640,-1,-3,2,1582
5655,-1,0,-12,1586
5670,1,4,7,1590
5685,1,-4,5,1594
5700,1,7,-3,1597
5715,1,5,-7,1601
5730,-1,-10,6,1605
5745,1,-11,-12,1609
5760,1,4,-8,1613
5775,1,-5,-7,1617
5790,-1,-3,9,1621
5805,1,1,-1,1624
5820,-1,-3,4,1628
5835,-1,-7,-12,1632
5850,1,1,-1,1636
5865,1,7,-1,1640
5880,1,-6,3,1644
5895,1,9,-2,1648
5910,1,-7,-2,1652
5925,-1,1,3,1655
5940,1,9,-5,1659
5955,1,-8,-9,1663
5970,1,3,12,1667
5985,-1,3,0,1671
6000,1,-6,0,1675
6015,-1,0,6,1679
6030,-1,-11,-4,1682
6045,-1,3,10,1686
6060,1,7,5,1690
6075,-1,10,9,1694
6090,1,1,5,1698
6105,1,11,9,1702
6120,-1,-11,7,1706
6135,-1,0,-5,1710
6150,1,2,-12,1713
6165,1,-3,-3,1717
6180,-1,-7,4,1721
6195,-1,4,-10,1725
6210,-1,5,9,1729
6225,-1,3,8,1733
6240,1,9,8,1737
6255,1,7,5,1740
6270,-1,-1,-5,1744
6285,1,5,-12,1748
6300,-1,-6,-1,1752
6315,-1,-1,-1,1756
6330,-1,-6,5,1760
6345,-1,1,8,1764
6360,-1,3,-12,1768
6375,1,2,-6,1771
6390,1,0,-5,1775
6405,-1,-3,-7,1779
6420,-1,-12,-5,1783
6435,-1,-3,-10,1787
6450,-1,1,-4,1791
6465,-1,-12,-6,1795
6480,-1,-2,-9,1798
6495,1,0,-6,1802
6510,-1,8,2,1806
6525,-1,-11,-4,1810
6540,-1,8,-2,1814
6555,-1,9,-9,1818
6570,1,-3,3,1822
6585,1,9,3,1826
6600,-1,12,-1,1829
6615,1,-3,-9,1833
6630,-1,-1,-12,1837
6645,1,-10,-8,1841
6660,-1,-4,-12,1845
6675,-1,-7,3,1849
6690,1,-2,-11,1853
6705,1,-6,3,1857
6720,-1,-8,3,1860
6735,-1,7,1,1864
6750,-1,-4,10,1868
6765,-1,-12,-1,1872
6780,-1,6,5,1876
6795,1,10,8,1880
6810,1,-9,-10,1884
6825,1,8,-8,1887
6840,1,12,-11,1891
6855,1,-8,-5,1895
6870,1,-7,-4,1899
6885,-1,0,4,1903
6900,-1,-5,-10,1907
6915,1,4,6,1911
6930,-1,-2,-3,1915
6945,-1,3,12,1918
6960,-1,-9,-2,1922
6975,-1,1,6,1926
6990,1,-2,2,1930
7005,1,0,10,1934
7020,1,-8,-9,1938
7035,-1,9,3,1942
7050,1,12,10,1945
7065,-1,-7,1,1949
7080,1,-12,-3,1953
7095,-1,11,11,1957
7110,-1,1,-6,1961
7125,1,2,3,1965
7140,1,8,7,1969
7155,-1,9,2,1973
7170,1,10,5,1976
7185,-1,-7,2,1980
7200,1,12,-1,1984
7215,1,-12,-5,1988
7230,-1,-2,-6,1992
7245,1,-1,4,1996
7260,1,-6,-9,2000
7275,-1,-10,-1,2003
7290,-1,-5,4,2007
7305,1,1,8,2011
7320,1,-8,-4,2015
7335,1,7,5,2019
7350,1,-4,0,2023
7365,1,-12,4,2027
7380,1,12,8,2031
7395,-1,4,0,2034
7410,-1,5,-2,2038
7425,1,2,-11,2042
7440,1,6,3,2046
7455,1,-3,-5,2050
7470,1,5,-2,2054
7485,-1,-9,4,2058
7500,1,-5,1,2061
7515,-1,3,-3,2065
7530,-1,3,-1,2069
7545,-1,-8,12,2073
7560,-1,12,7,2077
7575,1,-4,-1,2081
7590,-1,5,-11,2085
7605,1,9,5,2089
7620,-1,-12,-2,2092
7635,1,-6,-8,2096
7650,-1,9,-3,2100
7665,1,6,-4,2104
7680,-1,-12,10,2108
7695,1,-2,0,2112
7710,-1,-8,3,2116
7725,-1,5,7,2120
7740,1,6,11,2123
7755,-1,-3,-1,2127
7770,-1,-11,8,2131
7785,-1,9,2,2135
7800,-1,8,-6,2139
7815,-1,2,-4,2143
7830,1,2,-8,2147
7845,-1,-10,-11,2150
7860,1,-9,-5,2154
7875,1,10,9,2158
7890,1,12,0,2162
7905,1,9,1,2166
7920,-1,-6,-6,2170
7935,-1,-1,0,2174
7950,1,3,1,2178
7965,-1,7,9,2181
7980,-1,4,-2,2185
7995,1,-6,-2,2189
8010,-1,10,-6,2193
8025,1,2,-7,2197
8040,1,-9,-6,2201
8055,1,-6,0,2205
8070,1,3,5,2208
8085,-1,-8,-5,2212
8100,1,-12,7,2216
8115,-1,-12,3,2220
8130,1,-7,-12,2224
8145,1,-5,6,2228
8160,-1,3,-10,2232
8175,-1,5,6,2236
8190,-1,8,12,2239
8205,-1,-9,-3,2243
8220,1,0,9,2247
8235,1,-3,-8,2251
8250,1,8,12,2255
8265,1,-3,12,2259
8280,1,-6,0,2263
8295,1,1,-4,2266
8310,1,12,6,2270
8325,1,9,1,2274
8340,-1,-3,-1,2278
8355,-1,-9,-7,2282
8370,1,9,8,2286
8385,1,-2,-1,2290
8400,1,8,-6,2294
8415,-1,-8,4,2297
8430,1,1,8,2301
8445,1,-6,11,2305
8460,1,7,3,2309
8475,-1,1,-4,2313
8490,1,-4,10,2317
8505,-1,4,2,2321
8520,-1,5,7,2324
8535,1,-11,-4,2328
8550,1,8,12,2332
8565,-1,-3,6,2336
8580,-1,-1,10,2340
8595,-1,-4,5,2344
8610,1,-7,-9,2348
8625,1,-10,7,2352
8640,1,-8,-6,2355
8655,-1,-5,-8,2359
8670,-1,8,-6,2363
8685,1,5,-7,2367
8700,1,-12,5,2371
8715,1,9,11,2375
8730,1,-1,-8,2379
8745,1,9,-9,2383
8760,-1,-1,8,2386
8775,1,3,-12,2390
8790,1,6,-11,2394
8805,-1,-9,12,2398
8820,1,1,-8,2402
8835,-1,-7,-2,2406
8850,-1,0,-4,2410
8865,-1,4,6,2413
8880,-1,-7,-5,2417
8895,1,3,-11,2421
8910,1,-12,-11,2425
8925,-1,10,8,2429
8940,1,6,-12,2433
8955,1,8,-3,2437
8970,-1,-12,8,2441
8985,-1,-9,-9,2444
9000,1,6,11,2448
9015,-1,5,8,2452
9030,-1,6,-2,2456
9045,1,12,-1,2460
9060,-1,-1,6,2464
9075,-1,-8,-7,2468
9090,-1,4,-6,2471
9105,-1,11,-10,2475
9120,-1,3,7,2479
9135,1,-3,-11,2483
9150,-1,2,-6,2487
9165,1,7,-12,2491
9180,1,-4,1,2495
9195,-1,1,-10,2499
9210,-1,0,5,2502
9225,-1,4,-7,2506
9240,1,10,0,2510
9255,-1,0,0,2514
9270,1,-12,0,2518
9285,1,5,-12,2522
9300,1,7,12,2526
9315,1,-2,9,2529
9330,1,-5,10,2533
9345,-1,9,-9,2537
9360,-1,-9,8,2541
