frame,sign,kx,ky,sbxframe
0,1,4,-9,129
15,-1,-8,-12,133
30,-1,-2,-9,137
45,-1,-12,-6,140
60,-1,-1,6,144
75,1,-12,1,148
90,1,7,-5,152
105,-1,8,-12,156
120,1,-12,8,160
135,-1,-3,-5,164
150,1,-11,2,167
165,-1,3,-2,171
180,1,-10,-10,175
195,-1,12,-5,179
210,1,9,-7,183
225,1,9,11,187
240,1,-10,2,191
255,-1,-5,2,195
270,-1,-3,-2,198
285,1,-5,-6,202
300,-1,5,-11,206
315,-1,-8,-4,210
330,1,-4,-1,214
345,-1,12,10,218
360,1,-8,2,222
375,1,1,-6,225
390,-1,11,-7,229
405,1,-8,1,233
420,1,-5,1,237
435,-1,4,5,241
450,1,-4,-8,245
465,-1,10,-8,249
480,-1,-8,-5,253
495,-1,-7,-6,256
510,-1,-3,-8,260
525,-1,7,0,264
540,-1,5,-12,268
555,1,9,-2,272
570,-1,-3,8,276
585,-1,-5,-2,280
600,-1,6,1,283
615,1,0,9,287
630,-1,-10,7,291
645,1,-12,12,295
660,1,12,-5,299
675,-1,-7,-12,303
690,-1,5,-2,307
705,-1,-5,-7,311
720,-1,7,9,314
735,-1,-6,-7,318
750,-1,-12,1,322
765,1,-1,2,326
780,1,0,0,330
795,-1,-8,4,334
810,-1,-12,8,338
825,-1,-3,-3,342
840,1,6,-5,345
855,-1,9,-12,349
870,-1,6,-2,353
885,-1,3,0,357
900,-1,9,6,361
915,-1,7,0,365
930,1,5,-11,369
945,-1,0,2,372
960,-1,-5,-6,376
975,1,8,-8,380
990,-1,-2,-12,384
1005,-1,-12,-1,388
1020,1,3,8,392
1035,-1,-1,8,396
1050,1,-1,10,400
1065,-1,-4,-12,403
1080,-1,-3,3,407
1095,-1,9,-11,411
1110,-1,-3,3,415
1125,-1,9,8,419
1140,-1,-4,-5,423
1155,-1,-12,-12,427
1170,1,-11,11,430
1185,1,-12,-12,434
1200,-1,10,-8,438
1215,1,6,8,442
1230,-1,10,12,446
1245,-1,-7,-7,450
1260,-1,11,5,454
1275,1,8,-7,458
1290,1,10,12,461
1305,1,9,-8,465
1320,-1,0,-9,469
1335,1,-10,-6,473
1350,1,5,-9,477
1365,-1,-1,-11,481
1380,-1,0,12,485
1395,-1,-3,0,488
1410,1,-6,-8,492
1425,1,-2,9,496
1440,-1,5,-4,500
1455,-1,11,-2,504
1470,1,-7,-1,508
1485,1,-12,4,512
1500,1,1,-3,516
1515,1,9,3,519
1530,-1,11,-1,523
1545,1,11,5,527
1560,1,-4,0,531
1575,-1,9,9,535
1590,1,-1,2,539
1605,1,4,5,543
1620,-1,-8,10,546
1635,-1,-12,3,550
1650,-1,5,-3,554
1665,-1,4,-1,558
1680,1,1,8,562
1695,-1,-10,-10,566
1710,1,-3,8,570
1725,1,-12,-8,574
1740,1,2,4,577
1755,-1,-9,-4,581
1770,-1,-1,4,585
1785,-1,-3,12,589
1800,-1,1,-7,593
1815,-1,-12,-6,597
1830,-1,3,6,601
1845,-1,-7,0,604
1860,1,12,-8,608
1875,-1,8,11,612
1890,-1,4,-10,616
1905,-1,0,-12,620
1920,1,4,-12,624
1935,-1,8,10,628
1950,-1,-6,3,632
1965,-1,-7,-2,635
1980,1,5,-8,639
1995,-1,-11,5,643
2010,-1,10,1,647
2025,1,-7,-1,651
2040,-1,2,0,655
2055,-1,11,-2,659
2070,1,-10,-11,663
2085,-1,-3,1,666
2100,1,-5,-5,670
2115,1,9,0,674
2130,-1,9,-1,678
2145,-1,-3,-12,682
2160,-1,5,7,686
2175,1,-12,-12,690
2190,-1,-1,12,693
2205,1,-10,-2,697
2220,1,-11,8,701
2235,-1,0,2,705
2250,1,-9,4,709
2265,1,-11,-1,713
2280,-1,-11,-9,717
2295,1,3,-4,721
2310,-1,-8,-11,724
2325,1,-2,7,728
2340,1,-7,4,732
2355,1,0,-1,736
2370,-1,4,-11,740
2385,1,4,0,744
2400,1,12,-7,748
2415,1,-4,-11,751
2430,1,-12,-4,755
2445,1,3,-11,759
2460,-1,2,7,763
2475,1,-1,-8,767
2490,1,11,-10,771
2505,1,9,-4,775
2520,-1,11,-6,779
2535,-1,-1,-9,782
2550,1,-8,-2,786
2565,-1,-7,-11,790
2580,1,-10,-10,794
2595,-1,11,-10,798
2610,-1,3,3,802
2625,1,11,5,806
2640,1,-12,6,809
2655,-1,0,7,813
2670,1,11,-10,817
2685,1,1,5,821
2700,-1,5,-1,825
2715,-1,-5,-6,829
2730,1,-4,-12,833
2745,-1,-1,-7,837
2760,-1,12,10,840
2775,1,-2,10,844
2790,-1,-4,-3,848
2805,1,4,12,852
2820,-1,2,-10,856
2835,-1,-7,-3,860
2850,-1,-2,-5,864
2865,1,-12,6,867
2880,-1,-6,11,871
2895,-1,-3,5,875
2910,-1,4,-4,879
2925,-1,-4,12,883
2940,1,0,5,887
2955,1,-5,-5,891
2970,-1,-9,4,895
2985,-1,-9,5,898
3000,1,-5,2,902
3015,-1,3,11,906
3030,-1,4,-8,910
3045,-1,-4,9,914
3060,-1,-8,2,918
3075,1,-2,10,922
3090,-1,4,12,925
3105,1,6,-10,929
3120,1,-9,1,933
3135,-1,-9,8,937
3150,1,5,7,941
3165,-1,-2,-4,945
3180,1,2,4,949
3195,1,-9,-3,953
3210,-1,-12,-8,956
3225,1,-7,9,960
3240,1,-2,12,964
3255,1,2,12,968
3270,-1,1,-11,972
3285,1,-8,-10,976
3300,1,-11,-4,980
3315,-1,2,10,984
3330,-1,-10,11,987
3345,1,5,6,991
3360,-1,1,-3,995
3375,1,-9,-1,999
3390,-1,9,-7,1003
3405,1,-2,-3,1007
3420,-1,-3,-4,1011
3435,-1,4,9,1014
3450,1,-12,5,1018
3465,1,11,-6,1022
3480,-1,6,8,1026
3495,1,2,-4,1030
3510,-1,2,3,1034
3525,-1,7,-12,1038
3540,1,12,-8,1042
3555,-1,7,12,1045
3570,1,-11,-9,1049
3585,-1,6,-7,1053
3600,1,-8,4,1057
3615,-1,1,-10,1061
3630,1,3,3,1065
3645,1,12,-11,1069
3660,-1,-8,-12,1072
3675,1,12,-12,1076
3690,1,12,-10,1080
3705,1,10,-9,1084
3720,1,1,-2,1088
3735,1,9,2,1092
3750,-1,0,0,1096
3765,1,5,-5,1100
3780,-1,-9,-3,1103
3795,1,0,10,1107
3810,1,-4,-6,1111
3825,-1,0,8,1115
3840,-1,9,9,1119
3855,-1,2,7,1123
3870,1,3,0,1127
3885,-1,10,9,1130
3900,1,-1,-1,1134
3915,1,-8,12,1138
3930,-1,-9,9,1142
3945,1,2,-9,1146
3960,1,-4,1,1150
3975,-1,11,0,1154
3990,1,-10,0,1158
4005,-1,11,4,1161
4020,1,-2,7,1165
4035,1,-2,-1,1169
4050,1,3,0,1173
4065,1,-7,-5,1177
4080,1,-3,-3,1181
4095,1,3,12,1185
4110,-1,4,2,1188
4125,1,-4,8,1192
4140,1,-11,-12,1196
4155,-1,5,-4,1200
4170,-1,10,11,1204
4185,1,-5,-2,1208
4200,1,-9,-5,1212
4215,1,7,-6,1216
4230,1,-6,11,1219
4245,-1,-10,4,1223
4260,1,-5,0,1227
4275,-1,8,11,1231
4290,-1,4,-8,1235
4305,-1,-6,-4,1239
4320,1,2,7,1243
4335,-1,10,-1,1246
4350,1,5,-5,1250
4365,1,1,-2,1254
4380,1,-1,-10,1258
4395,1,10,4,1262
4410,-1,-9,12,1266
4425,-1,12,6,1270
4440,-1,-12,3,1274
4455,-1,6,-9,1277
4470,1,1,10,1281
4485,1,8,11,1285
4500,1,9,6,1289
4515,1,-10,-2,1293
